Question,Correct
What is Git?,A source code management tool
Which of the Following product characteristics is functional?,A social media platform
Which of the following is NOT a type of testing?,A programming language
Which of the following is NOT a characteristic of agile software development?,A type of encryption algorithm used for securing online transactions.
Which of the following is NOT a software development model?,Budget
,User interface
,Efficency
,Reliability 
,Regression testing
,Unit testing
,Integration testing
,System testing
,Emphasis on documentation
,Iterative and incremental development
,Customer collaboration
,Responding to change
,Development model
,Agile model
,Waterfall model
,Spiral model
